{'r_arm': 165},{'l_arm': 167},{'r_leg': 152},{'l_leg': 79},{'r_shoulder': 69},{'l_shoulder': 129},{'r_hip': 175},{'l_hip': 114},hold
{'r_arm': 165},{'l_arm': 167},{'r_leg': 152},{'l_leg': 79},{'r_shoulder': 69},{'l_shoulder': 129},{'r_hip': 175},{'l_hip': 114},hold
{'r_arm': 165},{'l_arm': 167},{'r_leg': 152},{'l_leg': 79},{'r_shoulder': 69},{'l_shoulder': 129},{'r_hip': 175},{'l_hip': 114},hold
{'r_arm': 165},{'l_arm': 167},{'r_leg': 152},{'l_leg': 79},{'r_shoulder': 69},{'l_shoulder': 129},{'r_hip': 175},{'l_hip': 114},hold
{'r_arm': 165},{'l_arm': 168},{'r_leg': 153},{'l_leg': 79},{'r_shoulder': 69},{'l_shoulder': 129},{'r_hip': 176},{'l_hip': 114},hold
{'r_arm': 165},{'l_arm': 168},{'r_leg': 153},{'l_leg': 79},{'r_shoulder': 69},{'l_shoulder': 129},{'r_hip': 176},{'l_hip': 114},hold
{'r_arm': 165},{'l_arm': 167},{'r_leg': 153},{'l_leg': 79},{'r_shoulder': 69},{'l_shoulder': 129},{'r_hip': 177},{'l_hip': 114},hold
{'r_arm': 165},{'l_arm': 168},{'r_leg': 153},{'l_leg': 79},{'r_shoulder': 69},{'l_shoulder': 129},{'r_hip': 177},{'l_hip': 114},hold
{'r_arm': 165},{'l_arm': 168},{'r_leg': 154},{'l_leg': 79},{'r_shoulder': 69},{'l_shoulder': 129},{'r_hip': 177},{'l_hip': 114},hold
{'r_arm': 165},{'l_arm': 168},{'r_leg': 154},{'l_leg': 80},{'r_shoulder': 69},{'l_shoulder': 129},{'r_hip': 177},{'l_hip': 114},hold
{'r_arm': 165},{'l_arm': 168},{'r_leg': 154},{'l_leg': 80},{'r_shoulder': 69},{'l_shoulder': 129},{'r_hip': 177},{'l_hip': 114},hold
{'r_arm': 165},{'l_arm': 168},{'r_leg': 154},{'l_leg': 80},{'r_shoulder': 69},{'l_shoulder': 129},{'r_hip': 177},{'l_hip': 114},hold
{'r_arm': 165},{'l_arm': 168},{'r_leg': 154},{'l_leg': 80},{'r_shoulder': 69},{'l_shoulder': 129},{'r_hip': 177},{'l_hip': 114},hold
{'r_arm': 165},{'l_arm': 168},{'r_leg': 154},{'l_leg': 80},{'r_shoulder': 69},{'l_shoulder': 129},{'r_hip': 177},{'l_hip': 114},hold
{'r_arm': 165},{'l_arm': 168},{'r_leg': 154},{'l_leg': 80},{'r_shoulder': 69},{'l_shoulder': 129},{'r_hip': 177},{'l_hip': 114},hold
{'r_arm': 165},{'l_arm': 168},{'r_leg': 154},{'l_leg': 80},{'r_shoulder': 69},{'l_shoulder': 129},{'r_hip': 177},{'l_hip': 114},hold
{'r_arm': 165},{'l_arm': 168},{'r_leg': 153},{'l_leg': 80},{'r_shoulder': 69},{'l_shoulder': 129},{'r_hip': 177},{'l_hip': 114},hold
{'r_arm': 165},{'l_arm': 168},{'r_leg': 150},{'l_leg': 80},{'r_shoulder': 69},{'l_shoulder': 128},{'r_hip': 175},{'l_hip': 114},hold
{'r_arm': 175},{'l_arm': 161},{'r_leg': 158},{'l_leg': 76},{'r_shoulder': 81},{'l_shoulder': 136},{'r_hip': 178},{'l_hip': 108},hold
{'r_arm': 169},{'l_arm': 162},{'r_leg': 160},{'l_leg': 82},{'r_shoulder': 79},{'l_shoulder': 139},{'r_hip': 175},{'l_hip': 110},hold
{'r_arm': 169},{'l_arm': 161},{'r_leg': 164},{'l_leg': 77},{'r_shoulder': 77},{'l_shoulder': 139},{'r_hip': 172},{'l_hip': 108},hold
{'r_arm': 168},{'l_arm': 158},{'r_leg': 165},{'l_leg': 76},{'r_shoulder': 76},{'l_shoulder': 140},{'r_hip': 171},{'l_hip': 105},hold
{'r_arm': 170},{'l_arm': 156},{'r_leg': 165},{'l_leg': 74},{'r_shoulder': 76},{'l_shoulder': 136},{'r_hip': 169},{'l_hip': 106},hold
{'r_arm': 169},{'l_arm': 154},{'r_leg': 165},{'l_leg': 73},{'r_shoulder': 76},{'l_shoulder': 135},{'r_hip': 168},{'l_hip': 106},hold
{'r_arm': 169},{'l_arm': 152},{'r_leg': 166},{'l_leg': 72},{'r_shoulder': 76},{'l_shoulder': 134},{'r_hip': 167},{'l_hip': 107},hold
{'r_arm': 169},{'l_arm': 152},{'r_leg': 167},{'l_leg': 72},{'r_shoulder': 77},{'l_shoulder': 134},{'r_hip': 167},{'l_hip': 107},hold
{'r_arm': 169},{'l_arm': 153},{'r_leg': 168},{'l_leg': 72},{'r_shoulder': 77},{'l_shoulder': 135},{'r_hip': 166},{'l_hip': 107},hold
{'r_arm': 169},{'l_arm': 154},{'r_leg': 169},{'l_leg': 72},{'r_shoulder': 77},{'l_shoulder': 136},{'r_hip': 166},{'l_hip': 108},hold
{'r_arm': 169},{'l_arm': 154},{'r_leg': 168},{'l_leg': 73},{'r_shoulder': 77},{'l_shoulder': 136},{'r_hip': 167},{'l_hip': 108},hold
{'r_arm': 169},{'l_arm': 155},{'r_leg': 167},{'l_leg': 73},{'r_shoulder': 77},{'l_shoulder': 136},{'r_hip': 167},{'l_hip': 108},hold
{'r_arm': 168},{'l_arm': 155},{'r_leg': 167},{'l_leg': 73},{'r_shoulder': 77},{'l_shoulder': 136},{'r_hip': 167},{'l_hip': 108},hold
{'r_arm': 168},{'l_arm': 155},{'r_leg': 167},{'l_leg': 73},{'r_shoulder': 77},{'l_shoulder': 136},{'r_hip': 168},{'l_hip': 108},hold
{'r_arm': 168},{'l_arm': 155},{'r_leg': 166},{'l_leg': 73},{'r_shoulder': 77},{'l_shoulder': 136},{'r_hip': 168},{'l_hip': 108},hold
